league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,time,match_report
,2022,Denmark,2021-11-15 Scotland-Denmark,2021-11-15,First round,Mon,Away,L,0,2,Scotland,4,2,2,50.0,0,0,0,0,0,19:45:00,/en/matches/d0699dda/Scotland-Denmark-November-15-2021-WCQ----UEFA-M
,2022,Denmark,2022-03-26 Netherlands-Netherlands,2022-03-26,Friendlies (M),Sat,Neutral,L,2,4,Netherlands,,4,,,0,1,1,0,0,20:45:00,/en/matches/4073d8ce/Netherlands-Denmark-March-26-2022-Friendlies-M
,2022,Denmark,2022-03-29 Serbia-Serbia,2022-03-29,Friendlies (M),Tue,Neutral,W,3,0,Serbia,,0,,,1,0,0,0,0,18:00:00,/en/matches/cfd42a80/Denmark-Serbia-March-29-2022-Friendlies-M
,2022,Denmark,2022-11-22 Tunisia-Tunisia,2022-11-22,Group stage,Tue,Neutral,D,0,0,Tunisia,1,0,1,100.0,1,0,0,0,0,16:00:00,/en/matches/ea069a7f/Denmark-Tunisia-November-22-2022-World-Cup
,2022,Denmark,2022-11-26 France-France,2022-11-26,Group stage,Sat,Neutral,L,1,2,France,6,2,4,66.7,0,0,0,0,0,19:00:00,/en/matches/6ff09149/France-Denmark-November-26-2022-World-Cup
,2022,Denmark,2022-11-30 Australia-Australia,2022-11-30,Group stage,Wed,Neutral,L,0,1,Australia,4,1,3,75.0,0,0,0,0,0,18:00:00,/en/matches/773b0721/Australia-Denmark-November-30-2022-World-Cup
,2022,Ecuador,2020-10-08 Argentina-Ecuador,2020-10-08,WCQ — CONMEBOL (M),Thu,Away,L,0,1,Argentina,2,1,1,50.0,0,1,1,0,0,21:30:00,/en/matches/7522e278/Argentina-Ecuador-October-8-2020-WCQ----CONMEBOL-M
,2022,Ecuador,2020-10-13 Ecuador-Uruguay,2020-10-13,WCQ — CONMEBOL (M),Tue,Home,W,4,2,Uruguay,3,2,1,33.3,0,2,2,0,0,16:00:00,/en/matches/f7e0f805/Ecuador-Uruguay-October-13-2020-WCQ----CONMEBOL-M
,2022,Ecuador,2020-11-12 Bolivia-Ecuador,2020-11-12,WCQ — CONMEBOL (M),Thu,Away,W,3,2,Bolivia,6,2,4,66.7,0,0,0,0,0,16:00:00,/en/matches/53098295/Bolivia-Ecuador-November-12-2020-WCQ----CONMEBOL-M
,2022,Ecuador,2020-11-17 Ecuador-Colombia,2020-11-17,WCQ — CONMEBOL (M),Tue,Home,W,6,1,Colombia,2,1,1,50.0,0,1,1,0,0,16:00:00,/en/matches/d27d19d9/Ecuador-Colombia-November-17-2020-WCQ----CONMEBOL-M
,2022,Ecuador,2021-06-04 Brazil-Ecuador,2021-06-04,WCQ — CONMEBOL (M),Fri,Away,L,0,2,Brazil,6,2,4,66.7,0,2,1,1,0,21:30:00,/en/matches/426bc821/Brazil-Ecuador-June-4-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-06-08 Ecuador-Peru,2021-06-08,WCQ — CONMEBOL (M),Tue,Home,L,1,2,Peru,3,2,1,33.3,0,0,0,0,0,16:00:00,/en/matches/f1eaa468/Ecuador-Peru-June-8-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-09-02 Ecuador-Paraguay,2021-09-02,WCQ — CONMEBOL (M),Thu,Home,W,2,0,Paraguay,1,0,1,100.0,1,0,0,0,0,16:00:00,/en/matches/14914c47/Ecuador-Paraguay-September-2-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-09-05 Ecuador-Chile,2021-09-05,WCQ — CONMEBOL (M),Sun,Home,D,0,0,Chile,3,0,3,100.0,2,0,0,0,0,16:00:00,/en/matches/de7730bd/Ecuador-Chile-September-5-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-09-09 Uruguay-Ecuador,2021-09-09,WCQ — CONMEBOL (M),Thu,Away,L,0,1,Uruguay,1,1,0,0.0,0,0,0,0,0,19:30:00,/en/matches/2f1f8b9b/Uruguay-Ecuador-September-9-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-10-07 Ecuador-Bolivia,2021-10-07,WCQ — CONMEBOL (M),Thu,Home,W,3,0,Bolivia,3,0,3,100.0,1,0,0,0,0,19:30:00,/en/matches/5f11e3c2/Ecuador-Bolivia-October-7-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-10-10 Venezuela-Ecuador,2021-10-10,WCQ — CONMEBOL (M),Sun,Away,L,1,2,Venezuela,3,2,1,33.3,0,0,0,0,0,16:30:00,/en/matches/f57c9216/Venezuela-Ecuador-October-10-2021-WCQ----CONMEBOL-M
